搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
小麦粉,澳洲小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,大商股份鸡西新玛特中心街购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,澳洲小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,大商股份鸡西新玛特中心街购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,有机小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,大商股份鸡西新玛特中心街购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,多用途麦芯粉 小麦粉,粮食及其制品-->小麦粉,山东信中食品有限公司,大商股份鸡西新玛特中心街购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,香满园饺子用小麦粉,粮食及其制品-->小麦粉,益海（石家庄）粮油工业有限公司,大商集团佳木斯新玛特购物广场有限责任公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,河套牌雪花粉（小麦粉）,粮食及其制品-->小麦粉,内蒙古恒丰食品工业（集团）股份有限公司,大商集团佳木斯新玛特购物广场有限责任公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,丰缘澳麦澳洲小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,青岛润泰事业有限公司佳木斯分公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,北大荒高筋小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,大商集团牡丹江新玛特购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,香满园饺子用小麦粉,粮食及其制品-->小麦粉,益海嘉里（北京）粮油食品工业有限公司,大商集团牡丹江新玛特购物广场有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,澳洲小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,齐齐哈尔百花超市连锁有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,丰缘澳麦澳洲小麦粉,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,齐齐哈尔润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,香满园优质特精小麦粉,粮食及其制品-->小麦粉,益海嘉里（北京）粮油食品工业有限公司,齐齐哈尔润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,原味家用粉（小麦粉）,粮食及其制品-->小麦粉,黑龙江北大荒丰远制粉有限公司,齐齐哈尔润泰商业有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,饺子用小麦粉,粮食及其制品-->小麦粉,邢台金沙河面业有限责任公司,双鸭山市奇特超市有限责任公司五环店,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
小麦粉,雪花高筋小麦粉,粮食及其制品-->小麦粉,五得利集团禹城面粉有限公司,黑龙江凯玛特超市有限公司,2015-02-04,,,,,,,合格,黑龙江市场监管局,2015-02-04,
