信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食品伙伴网,,三角（豆腐）,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,长豆泡,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,炸豆条,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,厦门新东生豆干,豆及豆制品-->非发酵豆制品,厦门新东生豆干 ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,五香豆干,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区红宝豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,油炸豆条,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区红宝豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,豆泡,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区红宝豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,三角油炸豆干,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区红宝豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,香卤豆干（香葱味）,豆及豆制品-->非发酵豆制品,重庆市佳佳乐食品有限公司 ,福州家乐福商业有限公司宝龙店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,香卤豆干（山椒味）,豆及豆制品-->非发酵豆制品,重庆市佳佳乐食品有限公司 ,福州家乐福商业有限公司宝龙店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,麻辣味香菇豆干（非发酵性豆制品）,豆及豆制品-->非发酵豆制品,重庆鑫佳宝食品有限公司 ,中闽百汇（中国）零售集团有限公司鲤城新华路分公司 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,腐竹,豆及豆制品-->非发酵豆制品,上海新闽融食品有限公司 ,麦德龙商业集团有限公司泉州丰泽商场 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,腐竹,豆及豆制品-->非发酵豆制品,安徽红花食品有限公司 ,麦德龙商业集团有限公司泉州丰泽商场 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,圆枝腐竹,豆及豆制品-->非发酵豆制品,北京王致和（桂林腐乳）食品有限公司 ,泉州元初食品有限公司丰泽香江花苑分店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,炸干（豆腐）,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,豆泡,豆及豆制品-->非发酵豆制品,/ ,漳州市龙文区董世川豆制品店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,腐竹,豆及豆制品-->非发酵豆制品,厦门银祥豆制品有限公司 ,福建冠业投资发展有限公司平潭龙里店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,手工豆皮,豆及豆制品-->非发酵豆制品,内黄县亿佳食品有限公司 ,福建冠业投资发展有限公司平潭龙里店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,老爸豆腐干(肉汁味),豆及豆制品-->非发酵豆制品,浙江老爸食品有限公司 ,福州福新大润发商业有限公司 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,捞汁豆腐（辣卤味）,豆及豆制品-->非发酵豆制品,重庆市天润食品开发有限公司 ,福州家乐福商业有限公司宝龙店 ,2022-01-14,,,,,,,合格,国内监督抽查(福建市场监管局),2022-01-14,
食品伙伴网,,黄豆油皮,豆及豆制品-->非发酵豆制品,霍州市隆旺佳豆制品有限公司 ,霍州市东大街优鲜生活超市 ,2022-01-14,,,,,,,合格,国内监督抽查(山西市场监管局),2022-01-14,
食品伙伴网,,手工花椒素肉（藤椒味）,豆及豆制品-->非发酵豆制品,重庆市武隆县羊角豆制品有限公司 ,山西和谐百货有限公司 ,2022-01-14,,,,,,,合格,国内监督抽查(山西市场监管局),2022-01-14,
食品伙伴网,,利民腐乳,豆及豆制品-->发酵豆制品,仙源（涿鹿）食品有限公司 ,太原市小店区永德兴商行 ,2022-01-14,,,,,,,合格,国内监督抽查(山西市场监管局),2022-01-14,
食品伙伴网,,火锅豆皮,豆及豆制品-->非发酵豆制品,山西荣惠源农副产品加工有限公司（分装） ,太原市小店区永德兴商行 ,2022-01-14,,,,,,,合格,国内监督抽查(山西市场监管局),2022-01-14,
