信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
RASFF,标题含环氧乙烷,环氧乙烷,草药和香料 ,,,,2021.3735,农药残留物 ,环氧乙烷 ,mg/kg - ppm,> 684,"0,10 mg/kg - ppm",严肃的 ,,14-07-2021 10:54:14,
RASFF,标题含环氧乙烷,环氧乙烷,坚果，坚果产品和种子 ,,,,2021.3750,农药残留物 ,农药残留物 ,mg/kg - ppm,"0,18",0.05 mg/kg - ppm,严肃的 ,,14-07-2021 15:54:57,
RASFF,标题含环氧乙烷,环氧乙烷,饮食食品，食品补充剂和强化食品 ,,,,2021.3778,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"5,4",,严肃的 ,,15-07-2021 16:50:38,
RASFF,标题含环氧乙烷,环氧乙烷,饮食食品，食品补充剂和强化食品 ,,,,2021.3778,农药残留物 ,2-氯乙醇 ,mg/kg - ppm,10,,严肃的 ,,15-07-2021 16:50:38,
RASFF,标题含环氧乙烷,环氧乙烷,饮食食品，食品补充剂和强化食品 ,,,,2021.3800,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"89,8",,严肃的 ,,16-07-2021 13:35:33,
RASFF,标题含环氧乙烷,环氧乙烷,饮食食品，食品补充剂和强化食品 ,,,,2021.3800,农药残留物 ,2-氯乙醇 ,mg/kg - ppm,164,,严肃的 ,,16-07-2021 13:35:33,
RASFF,标题含环氧乙烷,环氧乙烷,食品添加剂和调味剂 ,,,,2021.3810,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"1,8","0,1 mg/kg - ppm",严肃的 ,,16-07-2021 16:26:09,
RASFF,标题含环氧乙烷,环氧乙烷,食品添加剂和调味剂 ,,,,2021.3810,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"1,4","0,1 mg/kg - ppm",严肃的 ,,16-07-2021 16:26:09,
RASFF,标题含环氧乙烷,环氧乙烷,食品添加剂和调味剂 ,,,,2021.3810,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"0,57","0,1 mg/kg - ppm",严肃的 ,,16-07-2021 16:26:09,
RASFF,标题含环氧乙烷,环氧乙烷,食品添加剂和调味剂 ,,,,2021.3810,农药残留物 ,环氧乙烷 ,mg/kg - ppm,"2,5","0,1 mg/kg - ppm",严肃的 ,,16-07-2021 16:26:09,
