信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食安通,小麦、小麦粉,小麦粉,,宁夏长*实业有限公司,,,,,灰分,,,,不合格,国内监督抽查(),2015-01-12,
食安通,小麦、小麦粉,五得利小白荷馒头王小麦粉,,五**集团周口面粉有限公司,,,,,二氧化钛,,,,不合格,国内监督抽查(),2015-01-09,
食安通,小麦、小麦粉,天然小麦粉,,宝鸡扶风*马面粉厂,,,,,过氧化苯甲酰,,,,不合格,国内监督抽查(),2015-02-27,
食安通,小麦、小麦粉,食用小麦淀粉,,平湖市林埭镇广*食品厂,,,,,大肠菌群、霉菌,,,,不合格,国内监督抽查(),2015-02-16,
食安通,小麦、小麦粉,精制小麦粉,,湖北天*粮油有限责任公司,,,,,镉,,,,不合格,国内监督抽查(),2015-02-16,
食安通,小麦、小麦粉,小麦粉,,临汾尧都海*面粉厂,,,,,过氧化苯甲酰,,,,不合格,国内监督抽查(),2015-02-16,
食安通,小麦、小麦粉,小麦粉（通用）,,兴*市面粉厂,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,味精,无盐味精,,广州市创*食品有限公司（分装）,,,,,氯化物,,,,不合格,国内监督抽查(),2015-01-19,
食安通,味精,菊葩无盐味精,,张家港市菊*食品有限公司,,,,,谷氨酸钠、硫酸盐、食盐,,,,不合格,国内监督抽查(),2015-02-16,
食安通,牡蛎,油浸烟熏牡蛎（蚝）罐头,,荣成汇*食品有限公司,,,,,镉,,,,不合格,国内监督抽查(),2015-01-12,
RASFF,小麦,unripe wheat - Unreifer Weizen (Freekeh),cereals and bakery products,,,,2020.0346,industrial contaminants,Benzo(a)pyrene,µg/kg - ppb,"13,2 ± 4,8",,undecided,国外预警(RASFF),23-01-2020 12:46:26,
RASFF,小麦,unripe wheat - Unreifer Weizen (Freekeh),cereals and bakery products,,,,2020.0346,industrial contaminants,Polycyclic aromatic hydrocarbons,µg/kg - ppb,"Summe aus Benzo(a)pyren, Benzo(a)anthracen, Benzo(b)fluoranthen, Chrysen: 59,3 ± 21,3",,undecided,国外预警(RASFF),23-01-2020 12:46:26,
RASFF,小麦,unripe wheat - Unreifer Weizen (Freekeh),cereals and bakery products,,,,2020.0346,industrial contaminants,Benzo(a)pyrene,µg/kg - ppb,"20,3 ± 3,0",,undecided,国外预警(RASFF),23-01-2020 12:46:26,
RASFF,小麦,unripe wheat - Unreifer Weizen (Freekeh),cereals and bakery products,,,,2020.0346,industrial contaminants,Polycyclic aromatic hydrocarbons,µg/kg - ppb,"Summe aus Benzo(a)pyren, Benzo(a)anthracen, Benzo(b)fluoranthen, Chrysen: 81,1 ± 6,7",,undecided,国外预警(RASFF),23-01-2020 12:46:26,
食安通,大豆,大豆油（浸出）,,周口市老**粮油食品有限公司,,,,,色泽,,,,不合格,国内监督抽查(),2015-01-09,
食安通,大豆,大豆油,,牡丹江市金*粮油产品有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,天吉传统热榨大豆油,,黑龙江省红兴隆垦区天*粮油有限公司,,,,,酸值,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,存香笨榨大豆油,,绥化市北林区宏*榨油厂,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,笨榨大豆油,,齐齐哈尔市昂昂溪区霍托气村明**榨油坊,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,笨榨大豆油（压榨）,,讷河市宏*粮油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,笨榨大豆油,,讷河市宏*粮油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-01-08,
食安通,大豆,黑大豆酱油,,松原市松*老醋有限责任公司,,,,,氨基酸态氮,,,,不合格,国内监督抽查(),2015-02-27,
食安通,大豆,大豆酱,,长白朝鲜族自治县金*笠高丽食品贸易有限公司,,,,,大肠菌群,,,,不合格,国内监督抽查(),2015-02-27,
食安通,大豆,大豆油,,淮北南*油品农民专业合作社,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-27,
食安通,大豆,猪肉大豆蛋白肠,,江门市江海区德*腊味加工场,,,,,胭脂红,,,,不合格,国内监督抽查(),2015-02-16,
食安通,大豆,鲜肉腊肠（猪肉大豆蛋白肠）,,中山市黄圃镇今*肉类制品厂,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-16,
食安通,大豆,一品大豆泡,,广州市番禺区天*食品厂,,,,,大肠菌群,,,,不合格,国内监督抽查(),2015-02-16,
食安通,大豆,大豆油,,四川德*粮油有限公司德阳粮油厂,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-16,
食安通,大豆,大豆油,,莒县博*植物油有限公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-16,
食安通,大豆,猪肉大豆蛋白肠,,柳江县香**腊味食品厂,,,,,苋菜红,,,,不合格,国内监督抽查(),2015-02-13,
食安通,大豆,大豆油（压榨）,,遵义康*油脂有限责任公司,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,大豆,大豆油（浸出）,,遵义市黔*油脂有限责任公司,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,大豆,大豆油,,贵州省铜仁市金*油脂有限责任公司,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,大豆,大豆油（浸出）,,贵阳雁*食品有限公司,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,大豆,大豆油（浸出）,,遵义兴达**食用油有限公司,,,,,标签,,,,不合格,国内监督抽查(),2015-02-06,
食安通,大豆,一级大豆油,,荆州市永*生物科技有限公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-05,
食安通,大豆,大豆油,,宜昌彬*油脂有限公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-02-05,
食安通,大豆,笨榨大豆油,,北安市忠*粮油加工厂,,,,,酸值,,,,不合格,国内监督抽查(),2015-02-04,
