信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食安通,大豆,大豆油,,七台河市利*古榨豆油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-03-30,
食安通,大豆,亨通一级大豆油,,延津县亨*油脂有限责任公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-03-30,
食安通,大豆,大豆肉松,,漳州市中*食品有限公司,,,,,菌落总数,,,,不合格,国内监督抽查(),2015-03-23,
食安通,大豆,傲鹏一级大豆油,,佛山市顺德区双*食品有限公司,,,,,油酸、亚油酸,,,,不合格,国内监督抽查(),2015-04-22,
食安通,白砂糖,白砂糖,,儋州春**华糖业有限公司,,,,,色值,,,,不合格,国内监督抽查(),2015-03-30,
食安通,白砂糖,白砂糖,,晋江市灵***食品有限公司,,,,,蔗糖分、还原糖分,,,,不合格,国内监督抽查(),2015-03-20,
食安通,白砂糖,白砂糖,,厦门千*食品有限公司,,,,,蔗糖分、还原糖分,,,,不合格,国内监督抽查(),2015-03-20,
食安通,淀粉,土豆淀粉,,西安市华*调味品食品有限公司,,,,,菌落总数,,,,不合格,国内监督抽查(),2015-03-30,
食安通,淀粉,红薯淀粉,,北京顺***商贸有限公司望都第二分公司,,,,,铅,,,,不合格,国内监督抽查(),2015-03-30,
食安通,淀粉,食用玉米淀粉,,沈阳含*食品有限公司,,,,,大肠菌群、霉菌,,,,不合格,国内监督抽查(),2015-03-30,
食安通,淀粉,食用玉米淀粉,,菱*集团有限公司,,,,,大肠菌群,,,,不合格,国内监督抽查(),2015-03-30,
食安通,淀粉,食用淀粉,,厦门市澎*食品有限公司,,,,,霉菌,,,,不合格,国内监督抽查(),2015-03-20,
食安通,淀粉,马铃薯淀粉,,广州明*食品发展有限公司,,,,,菌落总数,,,,不合格,国内监督抽查(),2015-04-21,
食安通,淀粉,顶通牌粟粉（玉米淀粉）,,广州市新*食品有限公司,,,,,霉菌,,,,不合格,国内监督抽查(),2015-04-21,
食品伙伴网,白砂糖,白砂糖,食糖-->白糖,新郑市果之恋食品有限公司（分装）,泌阳县新时尚商贸有限公司,2015-03-02,,,,,,,合格,国内监督抽查(河南市场监管局),2015-03-02,
