信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
RASFF,淀粉,Corn flour,cereals and bakery products,,,,2020.1479,mycotoxins,Fumonisins,µg/kg - ppb,3048,1000 µg/kg - ppb,serious,国外预警(RASFF),01-04-2020 09:35:17,
RASFF,淀粉,corn flour,cereals and bakery products,,,,2020.3013,mycotoxins,Fumonisins,µg/kg - ppb,2067,1000 µg/kg - ppb,serious,国外预警(RASFF),23-07-2020 16:47:56,
RASFF,小麦粉,Chakki Atta - Wheat Flour,cereals and bakery products,,,,2020.3307,,,,,,serious,国外预警(RASFF),18-08-2020 10:05:45,
RASFF,小麦粉,Wheat Flour Ground Stoned,cereals and bakery products,,,,2020.2532,mycotoxins,Deoxynivalenol (DON),µg/kg - ppb,"1 063,39 ",max.750 µg/kg - ppb,serious,国外预警(RASFF),22-06-2020 09:08:22,
RASFF,黄豆,Rice flour,cereals and bakery products,,,,2020.3372,allergens,Traces of soya,,,0,serious,国外预警(RASFF),21-08-2020 16:25:50,
RASFF,黄豆,cookie avena cocco arancia e cookie avena mirtillo cioccolato giusto senza glutine Giuliani,cereals and bakery products,,,,2020.3818,allergens,Traces of soya,µg/kg - ppb,153 +/-46; 293 +/-88 ,,undecided,国外预警(RASFF),18-09-2020 12:40:49,
RASFF,黄豆,Dried soy product,cereals and bakery products,,,,2020.2675,mycotoxins,Aflatoxin B1,µg/kg - ppb,6.9,2 µg/kg - ppb,serious,国外预警(RASFF),01-07-2020 15:59:47,
RASFF,黄豆,Dried soy product,cereals and bakery products,,,,2020.2675,mycotoxins,Ochratoxin A,µg/kg - ppb,60,2 µg/kg - ppb,serious,国外预警(RASFF),01-07-2020 15:59:47,
RASFF,黄豆,cheese onion bread,cereals and bakery products,,,,2020.4807,allergens,Undeclared soya,,,,serious,国外预警(RASFF),06-11-2020 11:03:42,
RASFF,黄豆,Stone Oven Baguette White,cereals and bakery products,,,,2020.5999,,,,,,not serious,国外预警(RASFF),23-12-2020 16:19:40,
RASFF,黄豆,Rice flour,cereals and bakery products,,,,2020.3372,allergens,Traces of soya,,,0,serious,国外预警(RASFF),21-08-2020 16:25:50,
RASFF,黄豆,cookie avena cocco arancia e cookie avena mirtillo cioccolato giusto senza glutine Giuliani,cereals and bakery products,,,,2020.3818,allergens,Traces of soya,µg/kg - ppb,153 +/-46; 293 +/-88 ,,undecided,国外预警(RASFF),18-09-2020 12:40:49,
RASFF,黄豆,cheese onion bread,cereals and bakery products,,,,2020.4807,allergens,Undeclared soya,,,,serious,国外预警(RASFF),06-11-2020 11:03:42,
RASFF,黄豆,Dried soy product,cereals and bakery products,,,,2020.2675,mycotoxins,Aflatoxin B1,µg/kg - ppb,6.9,2 µg/kg - ppb,serious,国外预警(RASFF),01-07-2020 15:59:47,
RASFF,黄豆,Dried soy product,cereals and bakery products,,,,2020.2675,mycotoxins,Ochratoxin A,µg/kg - ppb,60,2 µg/kg - ppb,serious,国外预警(RASFF),01-07-2020 15:59:47,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Aflatoxin B1,µg/kg - ppb,"2,7",2,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Ochratoxin A,µg/kg - ppb,"25,7",2,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Aflatoxin B1,µg/kg - ppb,"3,6",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Ochratoxin A,µg/kg - ppb,"23,8",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Aflatoxin B1,µg/kg - ppb,"2,9",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Ochratoxin A,µg/kg - ppb,"29,4",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Aflatoxin B1,µg/kg - ppb,"3,3",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Ochratoxin A,µg/kg - ppb,"18,7",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Aflatoxin B1,µg/kg - ppb,"2,6",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2020.0995,mycotoxins,Ochratoxin A,µg/kg - ppb,"41,3",2 µg/kg - ppb,serious,国外预警(RASFF),02-03-2020 10:58:34,
RASFF,果葡糖浆,Sirop de glycines - Blauweregen siroop,other food product / mixed,,,,2020.1938,,,,,,serious,国外预警(RASFF),08-05-2020 12:06:07,
RASFF,果葡糖浆,Banana in syrup,fruits and vegetables,,,,2020.3671,food additives and flavourings,too high content of-E220- sulfur dioxide,mg/kg - ppm,26 (+/-3),,serious,国外预警(RASFF),09-09-2020 16:05:59,
RASFF,果葡糖浆,strawberries in syrup,fruits and vegetables,,,,2020.1412,food additives and flavourings,too high content of-E124 - Ponceau 4R/cochineal red A ,mg/kg - ppm,"58,6",not permited,not serious,国外预警(RASFF),26-03-2020 17:03:28,
RASFF,大蒜,garlic,fruits and vegetables,,,,2020.5786,heavy metals,cadmium,mg/kg - ppm,0.077,0.05 mg/kg - ppm,undecided,国外预警(RASFF),15-12-2020 18:03:22,
RASFF,大蒜,frozen garlic cubes 4x4 mm,fruits and vegetables,,,,2020.5619,heavy metals,cadmium,mg/kg - ppm,"0,124","0,05 mg/kg - ppm",undecided,国外预警(RASFF),08-12-2020 16:21:22,
食安通,大豆,大豆油,,七台河市利*古榨豆油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-03-30,
食安通,大豆,亨通一级大豆油,,延津县亨*油脂有限责任公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-03-30,
食安通,大豆,大豆肉松,,漳州市中*食品有限公司,,,,,菌落总数,,,,不合格,国内监督抽查(),2015-03-23,
食安通,大豆,傲鹏一级大豆油,,佛山市顺德区双*食品有限公司,,,,,油酸、亚油酸,,,,不合格,国内监督抽查(),2015-04-22,
食安通,大豆,笨榨大豆油,,讷河市宏*粮油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-05-27,
食安通,大豆,笨榨大豆油,,讷河市宏*粮油有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-05-27,
食安通,大豆,大豆油,,佳木斯市吉庆豆*有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-05-27,
食安通,大豆,大豆油,,佳木斯市吉庆豆*有限公司,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-05-27,
食安通,大豆,大豆油,,黑龙江红兴隆农垦天*粮油加工有限公司,,,,,酸值、溶剂残留量,,,,不合格,国内监督抽查(),2015-05-27,
食安通,大豆,一级大豆油,,宝鸡市*秦香油脂有限公司,,,,,苯并〔α〕芘,,,,不合格,国内监督抽查(),2015-05-21,
食安通,大豆,大豆油,,深圳市龙岗区布吉*河北方面饺馆,,,,,溶剂残留量,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,荆州区*德九大碗餐饮部,,,,,酸价,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,煎炸用大豆油,,青浦区*兵点心店,,,,,羰基价,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,泳源香一级大豆油,,衡水经济开发区*盛粮油经营部,,,,,酸价,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,满庆红     一级大豆油,,庆阳天*油脂有限公司,,,,,酸价,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,一级大豆油,,荆州市*康生物科技有限公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,宜昌彬*油脂有限公司,,,,,过氧化值,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,沙市区*二鲜鱼村,,,,,酸价、过氧化值,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,口福一级大豆油,,汶上县*民超市有限公司,,,,,酸价,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,宁波市*平粮油有限公司,,,,,水分及挥发物,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,山西*谷粮油有限责任公司,,,,,酸值,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,大豆油,,白贵*油坊,,,,,苯并[a]芘,,,,不合格,国内监督抽查(),2015-05-12,
食安通,大豆,圃中皇牌腊肠（猪肉大豆蛋白肠）,,中山市金*食品有限公司,,,,,酸价,,,,不合格,国内监督抽查(),2015-06-25,
食安通,大豆,农家大豆酱,,东丰县鹿*酿造厂,,,,,苯甲酸,,,,不合格,国内监督抽查(),2015-06-23,
