信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
RASFF,淀粉,玉米面粉 ,谷物和面包店产品 ,,,,2020.1479,霉菌毒素 ,伏马菌素 ,µg/kg - ppb,3048,1000 µg/kg - ppb,严肃的 ,国外预警(RASFF),01-04-2020,
RASFF,淀粉,玉米面粉 ,谷物和面包店产品 ,,,,2020.3013,霉菌毒素 ,Fumonisins. ,µg/kg - ppb,2067,1000 µg/kg - ppb,严肃的 ,国外预警(RASFF),23-07-2020,
RASFF,小麦粉,Chakki Atta  - 小麦粉 ,谷物和面包店产品 ,,,,2020.3307,,,,,,严肃的 ,国外预警(RASFF),18-08-2020,
RASFF,小麦粉,小麦粉地面扔石头 ,谷物和面包店产品 ,,,,2020.2532,霉菌毒素 ,脱氧性苯酚（唐） ,µg/kg - ppb,"1 063,39 ",max.750 µg/kg - ppb,严肃的 ,国外预警(RASFF),22-06-2020,
RASFF,黄豆,米粉 ,谷物和面包店产品 ,,,,2020.3372,过敏原 ,大豆痕迹 ,,,0,严肃的 ,国外预警(RASFF),21-08-2020,
RASFF,黄豆,饼干燕麦椰子橙色和饼干燕麦蓝莓巧克力没有麸质朱利亚尼 ,谷物和面包店产品 ,,,,2020.3818,过敏原 ,大豆痕迹 ,µg/kg - ppb,153 +/-46; 293 +/-88 ,,未定 ,国外预警(RASFF),18-09-2020,
RASFF,黄豆,干大豆产品 ,谷物和面包店产品 ,,,,2020.2675,霉菌毒素 ,黄曲霉毒素B1 ,µg/kg - ppb,6.9,2 µg/kg - ppb,严肃的 ,国外预警(RASFF),01-07-2020,
RASFF,黄豆,干大豆产品 ,谷物和面包店产品 ,,,,2020.2675,霉菌毒素 ,Ochratoxin A. ,µg/kg - ppb,60,2 µg/kg - ppb,严肃的 ,国外预警(RASFF),01-07-2020,
RASFF,黄豆,奶酪洋葱面包 ,谷物和面包店产品 ,,,,2020.4807,过敏原 ,未释放的大豆 ,,,,严肃的 ,国外预警(RASFF),06-11-2020,
RASFF,黄豆,石烤箱长方形宝石白色 ,谷物和面包店产品 ,,,,2020.5999,,,,,,不认真 ,国外预警(RASFF),23-12-2020,
RASFF,黄豆,米粉 ,谷物和面包店产品 ,,,,2020.3372,过敏原 ,大豆痕迹 ,,,0,严肃的 ,国外预警(RASFF),21-08-2020,
RASFF,黄豆,燕麦饼干椰子橙色和燕麦饼干巧克力蓝莓不正确面筋朱利安尼 ,谷物和面包店产品 ,,,,2020.3818,过敏原 ,大豆痕迹 ,µg/kg - ppb,153 +/-46; 293 +/-88 ,,未定 ,国外预警(RASFF),18-09-2020,
RASFF,黄豆,奶酪洋葱面包 ,谷物和面包店产品 ,,,,2020.4807,过敏原 ,未释放的大豆 ,,,,严肃的 ,国外预警(RASFF),06-11-2020,
RASFF,黄豆,干大豆产品 ,谷物和面包店产品 ,,,,2020.2675,霉菌毒素 ,黄曲霉毒素B1 ,µg/kg - ppb,6.9,2 µg/kg - ppb,严肃的 ,国外预警(RASFF),01-07-2020,
RASFF,黄豆,干大豆产品 ,谷物和面包店产品 ,,,,2020.2675,霉菌毒素 ,Ochratoxin A. ,µg/kg - ppb,60,2 µg/kg - ppb,严肃的 ,国外预警(RASFF),01-07-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,黄曲霉毒素B1 ,µg/kg - ppb,"2,7",2,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,Ochratoxin A. ,µg/kg - ppb,"25,7",2,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,黄曲霉毒素B1. ,µg/kg - ppb,"3,6",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,赭曲霉毒素A ,µg/kg - ppb,"23,8",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,黄曲霉毒素B1. ,µg/kg - ppb,"2,9",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,赭曲霉毒素A ,µg/kg - ppb,"29,4",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,黄曲霉毒素B1. ,µg/kg - ppb,"3,3",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,Ochratoxin A. ,µg/kg - ppb,"18,7",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,黄曲霉毒素B1. ,µg/kg - ppb,"2,6",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,日期糖浆 ,其他食品/混合 ,,,,2020.0995,霉菌毒素 ,赭曲霉毒素A ,µg/kg - ppb,"41,3",2 µg/kg - ppb,严肃的 ,国外预警(RASFF),02-03-2020,
RASFF,果葡糖浆,Sirop德的甘氨酸 -  Blauw siroop ,其他食品/混合 ,,,,2020.1938,,,,,,严肃的 ,国外预警(RASFF),08-05-2020,
RASFF,果葡糖浆,香蕉在糖浆中 ,水果和蔬菜 ,,,,2020.3671,食品添加剂和调味剂 ,-220-硫化过高的含量太高 ,mg/kg - ppm,26 (+/-3),,严肃的 ,国外预警(RASFF),09-09-2020,
