信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
RASFF,黄豆,noodles,cereals and bakery products,,,,2021.2526,,,,,,serious,国外预警(RASFF),19-05-2021 15:21:56,
RASFF,黄豆,Cookies ,cereals and bakery products,,,,2021.3475,,,,,,serious,国外预警(RASFF),01-07-2021 16:31:43,
RASFF,食用酒精,Beer,alcoholic beverages,,,,2021.0828,,,,,,serious,国外预警(RASFF),17-02-2021 11:41:17,
RASFF,食用酒精,"Beer, American Lager 4,8% gluten free",alcoholic beverages,,,,2021.3933,allergens,Undeclared gluten,mg/kg - ppm,73.8,,serious,国外预警(RASFF),26-07-2021 13:24:12,
RASFF,果葡糖浆,date syrup,other food product / mixed,,,,2021.3889,mycotoxins,Ochratoxin A,µg/kg - ppb,"3,2 ","2,0 µg/kg - ppb",undecided,国外预警(RASFF),22-07-2021 17:10:59,
RASFF,黄豆,noodles,cereals and bakery products,,,,2021.2526,,,,,,serious,国外预警(RASFF),19-05-2021 15:21:56,
RASFF,黄豆,Cookies ,cereals and bakery products,,,,2021.3475,,,,,,serious,国外预警(RASFF),01-07-2021 16:31:43,
食安通,小麦、小麦粉,小麦粉,,漳州市芗城前山面粉厂,,2015-07-05,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1530μg/kg,,不合格,国内监督抽查(福建省食药监局),2016-02-26,
食安通,小麦、小麦粉,高筋小麦粉（饺子面条粉）,,广东白燕粮油食实业有限公司,,2015-01-20,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1557μg/kg,,不合格,国内监督抽查(福建省食药监局),2016-02-26,
食安通,小麦、小麦粉,马耳朵（油炸小麦制品）,,长乐航城鑫诚小吃店,,2015-08-27,,,铝的残留量（以干基计）（100mg/kg（干样品，以Al计））,,256.1mg/kg,,不合格,国内监督抽查(福建省食药监局),2016-02-26,
食安通,小麦、小麦粉,油条（油炸小麦制品）,,长乐航城鑫诚小吃店,,2015-08-27,,,铝的残留量（以干基计）（100mg/kg（干样品，以Al计））,,656.3mg/kg,,不合格,国内监督抽查(福建省食药监局),2016-02-26,
食安通,小麦、小麦粉,炸老鼠(油炸小麦粉制品),,尤溪县城兴小吃店,,2015-08-18,,,铝的残留量（以干基计）（≤100）,,215mg/kg,,不合格,国内监督抽查(福建省食药监局),2016-02-26,
食安通,小麦、小麦粉,小麦酒49%voL,,公安县黄兴高粱酒厂,,2015-09-12,,,糖精钠（不得使用）,,0.010g/kg,,不合格,国内监督抽查(湖北省食药监局),2016-02-18,
食安通,小麦、小麦粉,小麦淀粉,,南京甘汁园糖业有限公司,,2015-10-17,,,大肠菌群（≤70MPN/100g）,,930MPN/100g,,不合格,国内监督抽查(江苏省食药监局),2016-02-03,
食安通,小麦、小麦粉,即食小麦包,,深圳市越创品味轩饮食服务有限公司,,/,,,铝的残留量,,/,,不合格,国内监督抽查(深圳市食药监局),2016-03-09,
食安通,小麦、小麦粉,小麦淀粉,,上海裕田农业科技有限公司,,2015-10-29,,,大肠菌群（≤70MPN/100g）,,430MPN/100g,,不合格,国内监督抽查(江苏省食药监局),2016-03-02,
食安通,小麦、小麦粉,小麦粉,,徐州金谷园面粉有限公司,,2015-10-11,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1300μg/kg,,不合格,国内监督抽查(江苏省食药监局),2016-04-29,
食安通,小麦、小麦粉,小麦粉（特制二等）,,上虞市天丰粮食有限公司,,2015-11-16,,,脱氧雪腐镰刀菌烯醇（1000μg/kg）,,1469μg/kg,,不合格,国内监督抽查(浙江省食药监局),2016-04-26,
食安通,小麦、小麦粉,小麦粉（特制一等）,,上虞市天丰粮食有限公司,,2015-11-17,,,脱氧雪腐镰刀菌烯醇（≤11000μg/kg）,,1736μg/kg,,不合格,国内监督抽查(浙江省食药监局),2016-04-26,
食安通,小麦、小麦粉,小麦粉,,徐州经济技术开发区好来望粮食加工厂,,2015-10-09,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1500μg/kg,,不合格,国内监督抽查(江苏省食药监局),2016-05-27,
食安通,小麦、小麦粉,饺子用小麦粉（饺子粉）,,山东鲁王集团有限公司,,2015-10-09,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1960μg/kg,,不合格,国内监督抽查(山东省食药监局),2016-05-04,
食安通,小麦、小麦粉,低筋小麦粉,,深圳南海粮食工业有限公司,,2016-02-21,,,铅,,/,,不合格,国内监督抽查(深圳市食药监局),2016-06-23,
食安通,小麦、小麦粉,小麦粉,,铜山区民丰面粉厂,,2016-03-07,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1126μg/kg,,不合格,国内监督抽查(江苏省食药监局),2016-06-20,
食安通,小麦、小麦粉,金孔雀小麦粉,,徐州金孔雀面粉有限公司,,2016-03-07,,,脱氧雪腐镰刀菌烯醇（≤1000μg/kg）,,1217μg/kg,,不合格,国内监督抽查(江苏省食药监局),2016-06-20,
