信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食安通,小麦、小麦粉,小麦芹,,/,,2020-09-21（购进日期）,,,甲拌磷（≤0.01mg/kg）,,0.12mg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-03-01,
食安通,小麦、小麦粉,小麦淀粉调制鲜湿米粉,,环江谭家米粉加工厂,,2020-06-12,,,二氧化硫残留量（不得使用）,,0.074g/kg,,不合格,国内监督抽查(广西壮族自治区市场监督管理局),2021-02-25,
食安通,小麦、小麦粉,食用小麦淀粉调制鲜湿米粉,,防城港市港口区益膳食品厂,,2020-10-23,,,脱氢乙酸及其钠盐(以脱氢乙酸计)（不得使用）,,0.0924g/kg,,不合格,国内监督抽查(广西壮族自治区市场监督管理局),2021-02-18,
食安通,小麦、小麦粉,生粉（小麦淀粉）,,/,,2020.08.15,,,霉菌和酵母（≤103(CFU/g)）,,2.9×103(CFU/g),,不合格,国内监督抽查(深圳市市场监督管理局),2021-02-05,
食安通,大豆,学者牌红曲大豆异黄酮片,,深圳学者生物有限公司,,批号J201001,,,桔青霉素（50μg/kg）,,1.2×102μg/kg,,不合格,国内监督抽查(广东省市场监督管理局),2021-02-02,
食安通,大豆,笨榨大豆油,,长春市嘉冠油脂有限公司,,2020-09-15,,,溶剂残留量（不得检出）,,17.8mg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-02-02,
食安通,大豆,大豆油,,吉林省吉地良田粮油经销有限公司,,2020-04-17,,,溶剂残留量（≤20mg/kg）,,25.1mg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-02-02,
食安通,黄豆,黄豆芽,,/,,2020-08-25,,,6-苄基腺嘌呤(6-BA)（不得检出）,,89.52μg/kg,,不合格,国内监督抽查(山东省市场监督管理局),2021-03-01,
食安通,黄豆,黄豆芽,,/,,2020-10-18（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,13.2μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-02-23,
食安通,黄豆,黄豆芽,,/,,2020-10-18（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,35.2μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-02-23,
食安通,黄豆,小黄豆芽,,/,,2020-11-18（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,104μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-02-23,
食安通,黄豆,黄豆芽,,/,,2020-09-01,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,163μg/kg,,不合格,国内监督抽查(山东省市场监督管理局),2021-02-19,
