信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食安通,芝麻油,香麻油（芝麻油）,,湘阴县湘丰实业有限责任公司,,2020-06-26,,,乙基麦芽酚（不得使用）,,8166μg/kg,,不合格,国内监督抽查(湖南省市场监督管理局),2021-03-11,
食安通,芝麻油,纯芝麻油,,重庆厨爽麻油调味品厂,,2020-04-08,,,乙基麦芽酚（不得使用）,,2.43×104μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-03-06,
食安通,芝麻油,纯正芝麻油,,/,,2020-09-07,,,乙基麦芽酚（不得使用）,,130μg/kg,,不合格,国内监督抽查(江苏省市场监督管理局),2021-03-03,
食安通,芝麻油,香芝麻油（食用植物调和油）,,商丘市褚氏食品有限公司,,2020-04-24,,,乙基麦芽酚（不得使用）,,63.7μg/kg,,不合格,国内监督抽查(江苏省市场监督管理局),2021-03-03,
食安通,芝麻油,纯芝麻油,,四川省黎红杉食品有限公司,,2019-11-27,,,乙基麦芽酚（不得使用）,,432μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-04-12,
食安通,芝麻油,纯黑芝麻油,,彭水县协伟食品加工厂,,2020-04-03,,,乙基麦芽酚（不得使用）,,3.98×103μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-04-01,
食安通,芝麻油,纯芝麻油,,彭水县协伟食品加工厂,,2020-04-08,,,乙基麦芽酚（不得使用）,,1.20×103μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-04-01,
食安通,芝麻油,纯芝麻油,,重庆市巴南区天香麻油调味品厂,,2020-07-13,,,乙基麦芽酚（不得使用）,,3.49×104μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-03-31,
食安通,贝类,指甲贝（贝类）,,供应商：昆明市官渡区海辉海产品经营部,,/,,,孔雀石绿（不得检出）,,1.95μg/kg,,不合格,国内监督抽查(国家市场监督管理总局),2021-04-02,
食品伙伴网,大蒜,大蒜,蔬菜及其制品-->鲜菜,/ ,浙江凯虹集团有限公司华之友超市沈家门店 ,2021-03-31,,,,,,,合格,国内监督抽查(浙江市场监管局),2021-03-31,/
食品伙伴网,大蒜,大蒜,蔬菜及其制品-->鲜菜,/ ,石柱土家族自治县君香副食店 ,2021-04-01,,,,,,,合格,国内监督抽查(重庆市场监管局),2021-04-01,
食品伙伴网,大蒜,大蒜,蔬菜及其制品-->鲜菜,/ ,重庆市永川区第十二中学校 ,2021-04-01,,,,,,,合格,国内监督抽查(重庆市场监管局),2021-04-01,
食品伙伴网,牡蛎,牡蛎,水产及其制品-->生鲜（冻）水产品,/ ,北戴河杨冠军鲜水产店 ,2021-03-19,,,,,,,合格,国内监督抽查(河北市场监管局),2021-03-19,
食品伙伴网,牡蛎,牡蛎,水产及其制品-->生鲜（冻）水产品,/ ,北戴河区老大水产商店 ,2021-03-19,,,,,,,合格,国内监督抽查(河北市场监管局),2021-03-19,
食安通,小麦、小麦粉,小麦粉,,和田真忠诚粮油有限责任公司,,2020.12.19,,,标签,,不合格,,不合格,国内监督抽查(新疆维吾尔自治区市场监督管理局),2021-03-17,
食安通,小麦、小麦粉,小麦芹,,/,,2020-09-21（购进日期）,,,甲拌磷（≤0.01mg/kg）,,0.12mg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-03-01,
食安通,小麦、小麦粉,雪花粉（小麦粉）,,郸城县永达粉业有限公司,,2020-08-14,,,过氧化苯甲酰（不得添加）,,0.045g/kg,,不合格,国内监督抽查(安徽省市场监督管理局),2021-04-14,
食安通,大豆,海伦城大豆油,,海伦市鸿润粮油加工有限公司,,2020-09-21,,,苯并[a]芘（≤10μg/kg）,,23.6μg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-03-25,
食安通,大豆,海伦城大豆油,,海伦市鸿润粮油加工有限公司,,2020-10-10,,,苯并[a]芘（≤10μg/kg）,,20.8μg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-04-29,
食安通,黄豆,黄豆芽,,/,,2020-10-18（购进日期）,,,4-氯苯氧乙酸钠（不得使用）;6-苄基腺嘌呤(6-BA)（不得使用）,,12.7μg/kg;92.7μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-03-30,
食安通,黄豆,黄豆芽,,/,,购进日期2020/10/21,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.0928mg/kg,,不合格,国内监督抽查(四川省市场监督管理局),2021-03-25,
食安通,黄豆,黄豆芽,,/,,2020-11-25,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.554mg/kg,,不合格,国内监督抽查(云南省市场监督管理局),2021-03-23,
食安通,黄豆,蔬菜（黄豆芽）,,/,,2020/11/16（购进）,,,6-苄基腺嘌呤（6-BA）（不得检出）,,0.0298mg/kg,,不合格,国内监督抽查(山西省市场监督管理局),2021-03-19,
食安通,黄豆,黄豆芽,,/,,20200921,,,6-苄基腺嘌呤(6-BA)(mg/kg)（不得检出）,,0.0404,,不合格,国内监督抽查(北京市市场监督管理局),2021-03-19,
食安通,黄豆,黄豆芽,,/,,购进日期2020/10/20,,,6-苄基腺嘌呤(6-BA)（不得使用）,,0.0176mg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-03-18,
食安通,黄豆,黄豆芽,,/,,购进日期2020/8/12,,,4-氯苯氧乙酸钠（不得检出）,,0.362mg/kg,,不合格,国内监督抽查(黑龙江省市场监督管理局),2021-03-18,
食安通,黄豆,黄豆芽,,/,,2020-12-28,,,6-苄基腺嘌呤(6-BA)(不得检出),,0.0352(mg/kg),,不合格,国内监督抽查(深圳市市场监督管理局),2021-03-18,
食安通,黄豆,黄豆芽,,河南万邦国际农产品物流城果蔬区,,/,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,64.5μg/kg,,不合格,国内监督抽查(河南省市场监督管理局),2021-03-17,
食安通,黄豆,黄豆芽,,/,,/,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.0382mg/kg,,不合格,国内监督抽查(河南省市场监督管理局),2021-03-17,
食安通,黄豆,特鲜黄豆酱油,,重庆市沙坪坝区青木关渝青调味品酿造厂,,2020-04-24,,,氨基酸态氮(以氮计)（≥0.40g/100mL）,,0.02g/100mL,,不合格,国内监督抽查(重庆市市场监督管理局),2021-03-14,
食安通,黄豆,黄豆芽,,/,,2020-10-18（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,24.0μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-03-10,
食安通,黄豆,黄豆芽,,/,,/,,,6-苄基腺嘌呤(6-BA)（不得检出）,,225μg/kg,,不合格,国内监督抽查(新疆维吾尔自治区市场监督管理局),2021-03-04,
食安通,黄豆,黄豆芽,,/,,/,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,64.1μg/kg,,不合格,国内监督抽查(新疆维吾尔自治区市场监督管理局),2021-03-04,
食安通,黄豆,黄豆芽,,/,,/,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,75.4μg/kg,,不合格,国内监督抽查(新疆维吾尔自治区市场监督管理局),2021-03-04,
食安通,黄豆,黄豆芽,,/,,购进日期：2020/8/27,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.202mg/kg,,不合格,国内监督抽查(贵州省市场监督管理局),2021-03-04,
食安通,黄豆,黄豆芽,,/,,购进日期：2020/9/9,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.0397mg/kg,,不合格,国内监督抽查(贵州省市场监督管理局),2021-03-04,
食安通,黄豆,黄豆芽,,/,,2020-09-08,,,1.4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）;2.6-苄基腺嘌呤(6-BA)（不得检出）,,41.9μg/kg;19.4μg/kg,,不合格,国内监督抽查(安徽省市场监督管理局),2021-03-03,
食安通,黄豆,黄豆芽,,/,,2020-08-25,,,6-苄基腺嘌呤(6-BA)（不得检出）,,89.52μg/kg,,不合格,国内监督抽查(山东省市场监督管理局),2021-03-01,
食安通,黄豆,黄豆芽,,/,,/,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,77.1μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-04-27,
食安通,黄豆,黄豆芽,,/,,2020-09-14（购进日期）,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得使用）,,17.0μg/kg,,不合格,国内监督抽查(重庆市市场监督管理局),2021-04-27,
食安通,黄豆,小黄豆芽,,/,,2020-11-13（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,29.0μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-04-27,
食安通,黄豆,长黄豆芽,,/,,2020-11-19（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,68.5μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-04-27,
食安通,黄豆,黄豆芽,,/,,2020-11-17（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,226μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-04-27,
食安通,黄豆,黄豆芽,,/,,2020-09-09,,,1.4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）;2.6-苄基腺嘌呤(6-BA)（不得检出）,,21.0μg/kg;27.8μg/kg,,不合格,国内监督抽查(安徽省市场监督管理局),2021-04-14,
食安通,黄豆,黄豆芽,,/,,2020-11-19（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,87.0μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-04-14,
食安通,黄豆,短黄豆芽,,/,,2020-11-19（购进日期）,,,6-苄基腺嘌呤(6-BA)（不得使用）,,63.2μg/kg,,不合格,国内监督抽查(陕西省市场监督管理局),2021-04-14,
食安通,黄豆,黄豆芽,,/,,2020-11-26,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.0252mg/kg,,不合格,国内监督抽查(云南省市场监督管理局),2021-04-12,
食安通,黄豆,黄豆芽,,/,,2020-11-24,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.0188mg/kg,,不合格,国内监督抽查(云南省市场监督管理局),2021-04-12,
食安通,黄豆,黄豆芽,,/,,20201025,,,6-苄基腺嘌呤(6-BA)(mg/kg)（不得检出）,,0.0364,,不合格,国内监督抽查(北京市市场监督管理局),2021-04-09,
食安通,黄豆,黄豆芽,,/,,2020-09-25,,,6-苄基腺嘌呤(6-BA)（不得检出）,,34.4μg/kg,,不合格,国内监督抽查(浙江省市场监督管理局),2021-04-09,
食安通,黄豆,黄豆芽,,/,,2020-09-17,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,53.5mg/kg,,不合格,国内监督抽查(辽宁省市场监督管理局),2021-04-02,
食安通,黄豆,北京风味黄豆酱油,,东港市富泉食品酿造厂,,2020-04-21,,,"菌落总数（n=5,c=2,m=5×103,M=5×104CFU/mL）",,6.2×103，7.8×104，6.1×103，4.2×103，1.1×104CFU/mL,,不合格,国内监督抽查(辽宁省市场监督管理局),2021-04-02,
食安通,黄豆,黄豆芽（长）,,/,,2020-09-16,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,31.2mg/kg,,不合格,国内监督抽查(辽宁省市场监督管理局),2021-04-02,
食安通,黄豆,黄豆芽,,/,,20201104,,,6-苄基腺嘌呤(6-BA)(mg/kg)（不得检出）,,0.0110,,不合格,国内监督抽查(北京市市场监督管理局),2021-04-02,
食安通,黄豆,黄豆芽,,/,,购进日期2020/10/22,,,4-氯苯氧乙酸钠(以4-氯苯氧乙酸计)（不得检出）,,0.194mg/kg,,不合格,国内监督抽查(四川省市场监督管理局),2021-04-01,
