信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食品伙伴网,,食品添加剂复配水分保持剂ⅠⅠl（强面精）,食品添加剂-->食品添加剂,徐州海成食品添加剂有限公司 ,济宁市任城区火炬化工物资供应站 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,猪肉香精（浆（膏）状香精）,食品添加剂-->食品添加剂,山东天博食品配料有限公司 ,济宁市任城区火炬化工物资供应站 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,肉精膏3＃,食品添加剂-->食品添加剂,济宁奥可特食品有限公司 ,德州市德城区同发食品添加剂经营部 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,复配型增稠剂食品添加剂,食品添加剂-->食品添加剂,滕州市通达海藻工程技术有限责任公司 ,德州市德城区同发食品添加剂经营部 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,吉利丁片(明胶片),食品添加剂-->食品添加剂,甘肃阿敏生物清真明胶有限公司 ,德州市德城区沐沐烘焙原料店 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,复配着色剂,食品添加剂-->食品添加剂,齐齐哈尔市鹤润食品原料有限公司 ,菏泽市牡丹区庆波食品添加剂商行 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,复配小麦粉面粉处理剂,食品添加剂-->食品添加剂,开封尚乐达食品有限公司 ,德州恒新食品化工原料有限公司食品添加剂分公司 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,复配发酵面制品面粉处理剂,食品添加剂-->食品添加剂,郑州海韦力食品工业有限公司 ,德州恒新食品化工原料有限公司食品添加剂分公司 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,食用碱面（复配酸度调节乳化剂）,食品添加剂-->食品添加剂,青岛海丽祥食品有限公司 ,黄岛区康荣浩百货店 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,快速复配油条膨松剂,食品添加剂-->食品添加剂,安琪酵母股份有限公司 ,临沂银座商城有限公司蒙阴分公司 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,牛肉香粉,食品添加剂-->食品添加剂,青岛美味斯特味业有限公司 ,枣庄市市中区晓梅祥和干货店 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,复配酸度调节剂,食品添加剂-->食品添加剂,山东圣琪生物有限公司 ,青岛利群麦岛超市有限公司 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,双效泡打粉（复配膨松剂）,食品添加剂-->食品添加剂,郑州君发科技有限公司　 ,重庆爱买特电子商务有限公司南坪步行街店 ,2021-01-15,,,,,,,合格,国内监督抽查(重庆市场监管局),2021-01-15,
食品伙伴网,,食用小苏打（食品添加剂碳酸氢钠）,食品添加剂-->食品添加剂,青岛碱业发展有限公司平度分公司 ,渝北区渝洛食品超市 ,2021-01-15,,,,,,,合格,国内监督抽查(重庆市场监管局),2021-01-15,
食品伙伴网,,香兰素香精,食品添加剂-->食品添加剂,江苏新星食品添加剂有限公司 ,烟台盛润食品原料有限公司 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
食品伙伴网,,〈食品用香精〉至尊肉香王,食品添加剂-->食品添加剂,青岛威格尔食品配料有限公司 ,汶上县鑫鼎食品添加剂商行 ,2021-01-15,,,,,,,合格,国内监督抽查(山东市场监管局),2021-01-15,
