信息来源,搜索条件,物料名称,产品分类,生产商,供应商,生产日期,批号,项目分类,检测项目,单位,检测结果,限量值,判定,发布单位,发布日期,备注
食品伙伴网,,调味油香精,食品添加剂-->食品添加剂,重庆雷檬香精香料有限公司 ,重庆雷檬香精香料有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,甜源糖（复配甜味剂）,食品添加剂-->食品添加剂,重庆市田野生物工程有限公司 ,重庆市田野生物工程有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,W1601红枣香精,食品添加剂-->食品添加剂,重庆市田野生物工程有限公司 ,重庆市田野生物工程有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,羧甲基纤维素钠,食品添加剂-->食品添加剂,重庆力宏精细化工有限公司 ,重庆力宏精细化工有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,爱乐甜零卡糖（食品添加剂）,食品添加剂-->食品添加剂,深圳市生命力生物保健科技江苏有限公司 ,重庆商社新世纪百货连锁经营有限公司龙湖水晶郦城店 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,食品用香精（花椒提取物）,食品添加剂-->食品添加剂,重庆骄王农业开发有限公司 ,重庆骄王农业开发有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,菠萝蛋白酶,食品添加剂-->食品添加剂,重庆骄王天然产物股份有限公司 ,重庆骄王天然产物股份有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,青花椒香精,食品添加剂-->食品添加剂,重庆华萃生物技术股份有限公司 ,重庆华萃生物技术股份有限公司 ,2022-01-12,,,,,,,合格,国内监督抽查(重庆市场监管局),2022-01-12,
食品伙伴网,,食品添加剂聚乙烯醇,食品添加剂-->食品添加剂,四川莱特聚信药用辅料有限公司 ,四川莱特聚信药用辅料有限公司 ,2022-01-14,,,,,,,合格,国内监督抽查(四川市场监管局),2022-01-14,
食品伙伴网,,食品添加剂F8170炒芝麻油香精,食品添加剂-->食品添加剂,南京宁远食品科技有限公司 ,德阳市区味香源食品配料经营部 ,2022-01-14,,,,,,,合格,国内监督抽查(四川市场监管局),2022-01-14,
